strategy,points_per_tile,class,tiles_labelled,tiles_present
uniform,5,background,0.855,0.96
uniform,5,building,0.605,0.935
uniform,5,road,0.38,0.86
uniform,5,water,0.095,0.355
uniform,5,barren,0.185,0.54
uniform,5,forest,0.25,0.7
uniform,5,agriculture,0.055,0.155
uniform,10,background,0.92,0.96
uniform,10,building,0.755,0.935
uniform,10,road,0.49,0.86
uniform,10,water,0.14,0.355
uniform,10,barren,0.27,0.54
uniform,10,forest,0.3,0.7
uniform,10,agriculture,0.09,0.155
uniform,20,background,0.945,0.96
uniform,20,building,0.825,0.935
uniform,20,road,0.61,0.86
uniform,20,water,0.205,0.355
uniform,20,barren,0.35,0.54
uniform,20,forest,0.36,0.7
uniform,20,agriculture,0.11,0.155
uniform,50,background,0.955,0.96
uniform,50,building,0.87,0.935
uniform,50,road,0.745,0.86
uniform,50,water,0.255,0.355
uniform,50,barren,0.425,0.54
uniform,50,forest,0.55,0.7
uniform,50,agriculture,0.12,0.155
uniform,100,background,0.955,0.96
uniform,100,building,0.89,0.935
uniform,100,road,0.805,0.86
uniform,100,water,0.285,0.355
uniform,100,barren,0.465,0.54
uniform,100,forest,0.6,0.7
uniform,100,agriculture,0.13,0.155
stratified,5,background,0.915,0.96
stratified,5,building,0.88,0.935
stratified,5,road,0.825,0.86
stratified,5,water,0.31,0.355
stratified,5,barren,0.51,0.54
stratified,5,forest,0.645,0.7
stratified,5,agriculture,0.14,0.155
stratified,10,background,0.96,0.96
stratified,10,building,0.935,0.935
stratified,10,road,0.86,0.86
stratified,10,water,0.355,0.355
stratified,10,barren,0.54,0.54
stratified,10,forest,0.7,0.7
stratified,10,agriculture,0.155,0.155
stratified,20,background,0.96,0.96
stratified,20,building,0.935,0.935
stratified,20,road,0.86,0.86
stratified,20,water,0.355,0.355
stratified,20,barren,0.54,0.54
stratified,20,forest,0.7,0.7
stratified,20,agriculture,0.155,0.155
stratified,50,background,0.96,0.96
stratified,50,building,0.935,0.935
stratified,50,road,0.86,0.86
stratified,50,water,0.355,0.355
stratified,50,barren,0.54,0.54
stratified,50,forest,0.7,0.7
stratified,50,agriculture,0.155,0.155
stratified,100,background,0.96,0.96
stratified,100,building,0.935,0.935
stratified,100,road,0.86,0.86
stratified,100,water,0.355,0.355
stratified,100,barren,0.54,0.54
stratified,100,forest,0.7,0.7
stratified,100,agriculture,0.155,0.155
